Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_search#test_extract_search_query","Extract search query `healthCheck path` from task","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Query extraction"
"tests.test_search#test_extract_search_query","Extract search query `phase-manifest.json` from task","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Query extraction"
"tests.test_estimator#test_format_estimate_tool_route","Format estimate prints tier scan and command for tool route","passed","21ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Format estimate"
"tests.test_estimator#test_format_estimate_cursor_route","Format estimate shows zero savings and cursor hint for cursor route","passed","18ms",,,,"Token economy","Task estimator",,"Token economy","Task estimator","Format estimate"
"tests.test_budget#test_format_savings_lines","Format savings lines for MCP tool footer","passed","0s",,,,"Token economy","Token budget",,"Token economy","Token budget","Savings footer"
"tests.test_router#test_route_task_all_tiers_has_five_rows","Full tier scan returns five executor rows","passed","10ms",,,,"Routing","Task router",,"Routing","Task router","Tier scan"
"tests.test_code_search#test_search_code_global_finds_baseurl","Global search finds baseUrl across monorepo","skipped","0s","Skipped: monorepo root not found (parent workspace checkout required)","('/home/runner/work/greedy-token/greedy-token/tests/test_code_search.py', 50, 'Skipped: monorepo root not found (parent workspace checkout required)')",,"Code search","Search path resolution",,"Code search","Search path resolution","Global search"
"tests.test_prompt_compress#test_compress_heuristic_drops_filler_lines","Heuristic compression drops filler lines","passed","1ms",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Heuristic"
"tests.test_rag_index#test_index_invalidates_on_chunk_edit","Index invalidates when chunk file is edited","passed","1ms",,,,"RAG","RAG index",,"RAG","RAG index","Invalidation"
"tests.test_pyramid_layers#test_layer_mapping_counts","Layer mapping covers unit, component, and integration modules","passed","1ms",,,,"Test infrastructure","Pyramid layers",,"Test infrastructure","Pyramid layers","Layer distribution"
"tests.test_usage#test_log_archive_paths_order","Log archive paths are returned in order","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Archives"
"tests.test_usage#test_rotate_log_when_over_limit","Log rotation archives file when over size limit","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Rotation"
"tests.test_usage#test_rotate_log_keeps_archives","Log rotation respects GREEDY_TOKEN_LOG_MAX_FILES","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Rotation"
"tests.test_usage#test_max_log_bytes_env","Max log bytes reads GREEDY_TOKEN_LOG_MAX_BYTES env","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Configuration"
"tests.test_mcp_tools#test_mcp_pipeline_execute_false_by_default","MCP pipeline defaults to dry-run when execute is omitted","passed","1ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Pipeline tool"
"tests.test_mcp_tools#test_mcp_pipeline_dry_run_includes_footer","MCP pipeline dry-run includes per-step Token economy footer","passed","4ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Pipeline tool"
"tests.test_mcp_tools#test_mcp_pipeline_list_recipes","MCP pipeline list returns named recipes","passed","1ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Pipeline tool"
"tests.test_mcp_tools#test_mcp_pipeline_execute_true","MCP pipeline passes execute=true to run allowlisted steps","passed","2ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Pipeline tool"
"tests.test_security#test_mcp_pipeline_dry_run_by_default","MCP pipeline tool is dry-run by default","passed","1ms",,,,"Security","Shell quoting",,"Security","Shell quoting","MCP safety"
"tests.test_mcp_tools#test_mcp_rag_returns_hits_with_footer","MCP RAG tool returns hits with Token economy footer","passed","13ms",,,,"MCP","MCP tools",,"MCP","MCP tools","RAG tool"
"tests.test_budget#test_wrap_mcp_response_appends_footer","MCP response wrapper appends Token economy footer","passed","10ms",,,,"Token economy","Token budget",,"Token economy","Token budget","MCP response"
"tests.test_mcp_tools#test_mcp_route_includes_token_economy_footer","MCP route tool returns tier decision with Token economy footer","passed","25ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Route tool"
"tests.test_mcp_tools#test_mcp_search_finds_match_in_workspace","MCP search tool finds matches and appends Token economy footer","passed","14ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Search tool"
"tests.test_mcp_icon#test_mcp_icons_advertises_png_data_uri","MCP server icon advertises PNG data URI for Cursor","passed","1ms",,,,"MCP","Server icon",,"MCP","Server icon","SEP-973 icon"
"tests.test_mcp_stdio#test_mcp_stdio_pipeline_dry_run_footer","MCP stdio pipeline dry-run includes per-step Token economy footer","passed","762ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","Pipeline tool"
"tests.test_mcp_stdio#test_mcp_stdio_rag_returns_hits","MCP stdio RAG tool returns doc hits with Token economy footer","passed","791ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","RAG tool"
"tests.test_mcp_stdio#test_mcp_stdio_route_includes_token_economy","MCP stdio route tool returns tier decision with Token economy footer","passed","802ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","Route tool"
"tests.test_mcp_stdio#test_mcp_stdio_search_finds_match","MCP stdio search tool finds baseUrl in workspace file","passed","793ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","Search tool"
"tests.test_mcp_stdio#test_mcp_stdio_lists_five_tools","MCP stdio server advertises five greedy-token tools","passed","586ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","Server handshake"
"tests.test_mcp_stdio#test_mcp_stdio_usage_empty_log","MCP stdio usage tool reports empty log gracefully","passed","589ms",,,,"MCP","MCP stdio server",,"MCP","MCP stdio server","Usage tool"
"tests.test_mcp_tools#test_mcp_usage_aggregates_log","MCP usage tool aggregates log events and session totals","passed","1ms",,,,"MCP","MCP tools",,"MCP","MCP tools","Usage tool"
"tests.test_mcp_tools#test_mcp_usage_empty_log","MCP usage tool reports empty log gracefully","passed","0s",,,,"MCP","MCP tools",,"MCP","MCP tools","Usage tool"
"tests.test_security#test_ollama_available_uses_cache","Ollama availability probe caches successful result","passed","2ms",,,,"Security","Shell quoting",,"Security","Shell quoting","Ollama probe"
"tests.test_wrappers#test_ollama_available_false","Ollama availability returns false when server is down","passed","0s",,,,"Script wrappers","Workspace scripts",,"Script wrappers","Workspace scripts","Ollama probe"
"tests.test_wrappers#test_ollama_available_true","Ollama availability returns true when /api/tags responds","passed","1ms",,,,"Script wrappers","Workspace scripts",,"Script wrappers","Workspace scripts","Ollama probe"
"tests.test_settings#test_defaults_without_config","Ollama settings return defaults when no config files","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Defaults"
"tests.test_settings#test_env_overrides_files","OLLAMA_* env vars override config files","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Precedence"
"tests.test_tool_output#test_version_matches_pyproject","Package version matches pyproject.toml","passed","0s",,,,"Tool output","Output filtering",,"Tool output","Output filtering","Package version"
"tests.test_pipeline#test_parse_custom_chain","Parse custom then-chain pipeline syntax","passed","2ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Custom chain"
"tests.test_pipeline#test_parse_named_pipeline_meta_audit","Parse meta-audit named pipeline recipe","passed","1ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Named recipes"
"tests.test_pipeline#test_parse_named_pipeline_search_rag_reuses_query","Parse search-rag recipe and reuse query for RAG step","passed","2ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Named recipes"
"tests.test_tokens#test_collect_paths_skips_git","Path collector skips .git directories","passed","1ms",,,,"Token economy","Token counting",,"Token economy","Token counting","Path collection"
"tests.test_pipeline#test_pipeline_dry_run","Pipeline dry-run does not execute allowlisted steps","passed","2ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Dry run"
"tests.test_pipeline#test_pipeline_execute_check_meta_sync","Pipeline execute runs check-meta-sync wrapper script","passed","5ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Execute"
"tests.test_pipeline#test_pipeline_execute_search_and_rag","Pipeline execute runs search and RAG allowlisted steps","passed","7ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Execute"
"tests.test_pipeline#test_pipeline_execute_skips_unavailable_ollama","Pipeline execute skips Ollama step when server is unavailable","passed","5ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Execute"
"tests.test_pipeline#test_format_pipeline_footer_has_by_executor","Pipeline footer includes per-executor savings table","passed","4ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Token footer"
"tests.test_pipeline#test_pipeline_stops_on_error","Pipeline stops early when a step fails","passed","6ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Error handling"
"tests.test_prompt_compress#test_compress_prompt_detail_heuristic","Prompt detail compression uses heuristic when Ollama disabled","passed","0s",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Detail mode"
"tests.test_rag_search#test_format_hits_includes_excerpt","RAG hit formatter includes chunk id and excerpt","passed","0s",,,,"RAG","RAG search",,"RAG","RAG search","Formatting"
"tests.test_rag_search#test_format_hits_empty","RAG hit formatter reports no hits with manifest hint","passed","1ms",,,,"RAG","RAG search",,"RAG","RAG search","Formatting"
"tests.test_rag_index#test_get_indexed_chunks_caches","RAG index caches manifest entries","passed","0s",,,,"RAG","RAG index",,"RAG","RAG index","Cache"
"tests.test_rag_search#test_search_rag_finds_baseurl","RAG search finds baseUrl chunk in e2e domain","passed","1ms",,,,"RAG","RAG search",,"RAG","RAG search","Manifest search"
"tests.test_rag_index#test_search_reads_only_top_hits","RAG search reads only top-ranked chunk files","passed","1ms",,,,"RAG","RAG index",,"RAG","RAG index","Token economy"
"tests.test_rag_search#test_search_rag_empty_query","RAG search returns empty list for blank query","passed","0s",,,,"RAG","RAG search",,"RAG","RAG search","Input validation"
"tests.test_rag_search#test_search_rag_no_manifest","RAG search returns empty when manifest is absent","passed","0s",,,,"RAG","RAG search",,"RAG","RAG search","Missing manifest"
"tests.test_rag_index#test_search_rag_still_finds_baseurl","RAG search still finds baseUrl after index rebuild","passed","1ms",,,,"RAG","RAG index",,"RAG","RAG index","Search"
"tests.test_rag_tokens#test_rag_est_tokens_reuses_body_without_reread","RAG token estimate reuses hit body without re-reading files","passed","1ms",,,,"Token economy","RAG token estimate",,"Token economy","RAG token estimate","Token estimate"
"tests.test_code_search#test_resolve_search_path_in_minimal_workspace","Resolve search path by filename in minimal workspace","passed","1ms",,,,"Code search","Search path resolution",,"Code search","Search path resolution","Minimal workspace"
"tests.test_code_search#test_resolve_search_path_by_filename","Resolve search path by filename in monorepo","skipped","0s","Skipped: monorepo root not found (parent workspace checkout required)","('/home/runner/work/greedy-token/greedy-token/tests/test_code_search.py', 18, 'Skipped: monorepo root not found (parent workspace checkout required)')",,"Code search","Search path resolution",,"Code search","Search path resolution","Monorepo"
"tests.test_tool_paths#test_resolve_rg_finds_cursor_bundle","Ripgrep resolver finds Cursor-bundled binary","skipped","0s","Skipped: Cursor bundled rg not installed","('/home/runner/work/greedy-token/greedy-token/tests/test_tool_paths.py', 26, 'Skipped: Cursor bundled rg not installed')",,"Code search","Ripgrep resolution",,"Code search","Ripgrep resolution","Cursor bundle"
"tests.test_router#test_route_rag_question","Route documentation question to RAG tier","passed","8ms",,,,"Routing","Task router",,"Routing","Task router","RAG tier"
"tests.test_usage#test_build_route_event_truncates_task","Route event builder truncates long task strings","passed","3ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Route events"
"tests.test_router#test_route_find_goes_to_tool","Route find task to tool tier with read-only plan","passed","9ms",,,,"Routing","Task router",,"Routing","Task router","Tool tier"
"tests.test_router#test_route_cursor_fallback","Route open-ended task to cursor fallback","passed","9ms",,,,"Routing","Task router",,"Routing","Task router","Cursor tier"
"tests.test_router#test_route_skips_unavailable_ollama","Route skips Ollama tier when server is unavailable","passed","9ms",,,,"Routing","Task router",,"Routing","Task router","Ollama availability"
"tests.test_code_search#test_search_code_scoped_file_no_match","Scoped file search reports no matches when absent","skipped","0s","Skipped: monorepo root not found (parent workspace checkout required)","('/home/runner/work/greedy-token/greedy-token/tests/test_code_search.py', 34, 'Skipped: monorepo root not found (parent workspace checkout required)')",,"Code search","Search path resolution",,"Code search","Search path resolution","Scoped search"
"tests.test_code_search#test_search_code_finds_in_minimal_workspace","Scoped search finds baseUrl in sample.js","passed","2ms",,,,"Code search","Search path resolution",,"Code search","Search path resolution","Scoped search"
"tests.test_wrappers#test_wrappers_registry_has_check_meta_sync","Script wrappers registry includes read-only check-meta-sync","passed","0s",,,,"Script wrappers","Workspace scripts",,"Script wrappers","Workspace scripts","Registry"
"tests.test_security#test_shell_args_quotes_metacharacters","Shell argument quoter escapes metacharacters","passed","1ms",,,,"Security","Shell quoting",,"Security","Shell quoting","Shell args"
"tests.test_settings#test_format_shell_export","Shell export emits OLLAMA_URL and OLLAMA_MODEL","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Shell export"
"tests.test_usage#test_parse_since_variants","Since parser accepts relative and ISO date strings","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Time filter"
"tests.test_executors#test_execute_task_rag_fallback_on_weak_rg","Task executor falls back to RAG when ripgrep output is empty","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG fallback"
"tests.test_executors#test_execute_task_cursor_returns_empty","Task executor returns empty output for cursor tier","passed","9ms",,,,"Routing","Task execution",,"Routing","Task execution","Cursor tier"
"tests.test_tokens#test_count_tokens_uses_tiktoken","Token counter uses tiktoken or heuristic fallback","passed","0s",,,,"Token economy","Token counting",,"Token economy","Token counting","tiktoken"
"tests.test_security#test_build_tool_command_quotes_root","Tool command builder quotes workspace root with spaces","passed","1ms",,,,"Security","Shell quoting",,"Security","Shell quoting","Ripgrep command"
"tests.test_search#test_build_tool_command_uses_identifier_not_phrase","Tool command builder uses identifier not full phrase","passed","2ms",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Ripgrep command"
"tests.test_budget#test_format_tool_footer_detailed_breakdown","Tool footer includes detailed token breakdown","passed","411ms",,,,"Token economy","Token budget",,"Token economy","Token budget","Tool footer"
"tests.test_search#test_filter_tool_output_drops_hooks_readme","Tool output filter drops .cursor/hooks paths","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Output filter"
"tests.test_tool_output#test_filter_tool_output_strips_blank_lines","Tool output filter strips consecutive blank lines","passed","0s",,,,"Tool output","Output filtering",,"Tool output","Output filtering","Blank lines"
"tests.test_usage#test_append_failure","Usage log append logs warning when write fails","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Error handling"
"tests.test_usage#test_append_rotates_before_write","Usage log append rotates before writing new event","passed","1ms",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Rotation"
"tests.test_usage#test_append_event","Usage log append writes JSON line","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Event logging"
"tests.test_usage#test_format_report_empty","Usage report handles empty event list","passed","0s",,,,"Token economy","Usage telemetry",,"Token economy","Usage telemetry","Report"
"tests.test_settings#test_init_user_config","User config init writes ~/.greedy-token/config.yaml","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","User config"
"tests.test_search#test_tool_output_weak_when_empty","Weak tool output detector flags empty ripgrep results","passed","0s",,,,"Routing","Tool search helpers",,"Routing","Tool search helpers","Weak output"
"tests.test_security#test_root_cd_prefix_quotes_spaces","Workspace cd prefix quotes paths with spaces","passed","0s",,,,"Security","Shell quoting",,"Security","Shell quoting","Workspace path"
"tests.test_settings#test_workspace_config_overrides_user","Workspace config overrides user config","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Precedence"
"tests.test_settings#test_workspace_config_path","Workspace config path points to .greedy-token.yaml in root","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","Paths"
"tests.test_wrappers#test_resolve_wrapper_command_python","Wrapper command resolver builds shell script invocation","passed","0s",,,,"Script wrappers","Workspace scripts",,"Script wrappers","Workspace scripts","Command resolution"
"tests.test_security#test_resolve_wrapper_command_quotes_root_and_args","Wrapper command resolver quotes root and extra args","passed","0s",,,,"Security","Shell quoting",,"Security","Shell quoting","Wrapper scripts"
"tests.test_wrappers#test_resolve_wrapper_unknown_raises","Wrapper command resolver raises for unknown wrapper id","passed","0s",,,,"Script wrappers","Workspace scripts",,"Script wrappers","Workspace scripts","Command resolution"
