Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_context_audit#test_render_audit_cache_hint","Audit report shows cache hint when rules exceed threshold","passed","3ms",,,,"Greedy token","Context audit",,"Greedy token","Context audit","Report rendering"
"tests.test_context_audit#test_audit_context_skips_dirs","audit_context skips non-file glob matches","passed","2ms",,,,"Greedy token","Context audit",,"Greedy token","Context audit","Rules scan"
"tests.test_tokens#test_count_texts_batch_matches_single","Batch token count matches individual counter calls","passed","1ms",,,"Count tokens in batch passed (1ms)
  batch counts: [ | { | ""tokens"": 1, | ""method"": ""tiktoken/cl100k_base"" | }, | { | ""tokens"": 2, | ""method"": ""tiktoken/cl100k_base"" | } | ] passed (0s)
 Verify batch matches individual counts passed (0s)","Greedy token","Token counting",,"Greedy token","Token counting","Batch counting"
"tests.test_branch_coverage#test_budget_footer_branch_gaps","Branch gaps: budget footer route_id and cursor billing","passed","1s 476ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_cli_run_branch_gaps","Branch gaps: CLI run empty output and non-executable dry-run","passed","134ms",,,"non-executable dry-run: Route: ollama (ollama-inventory) | Complexity: medium  Est. tokens: 0 | dry | (not read-only — dry-run only) passed (0s)","Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_code_search_branch_gaps","Branch gaps: code_search path resolution and rg fallback","passed","12ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_code_search_rg_fallback_branch","Branch gaps: code_search rg fallback when rg output is useless","passed","1ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_tokens_collect_paths_absolute","Branch gaps: collect_paths absolute path","passed","1ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_estimator_cursor_spent_line","Branch gaps: estimator cursor spent line","passed","124ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_pipeline_audit_skill_estimate_missing_file","Branch gaps: ollama audit-skill estimate when skill file is missing","passed","6ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_pipeline_ollama_estimate_non_audit_skill","Branch gaps: ollama estimate skips audit-skill file branch for other steps","passed","5ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_ci_linux_branch_gaps","Branch gaps: Ollama-available paths and scoped rg fallback","passed","31ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_pipeline_parse_errors","Branch gaps: parse_pipeline missing skill args","passed","6ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_pipeline_branch_gaps","Branch gaps: pipeline estimate, body, and list via public API","passed","8ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_rag_index_branch_gaps","Branch gaps: rag_index frontmatter and blank manifest lines via get_indexed","passed","2ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_tool_paths_empty_path_segment","Branch gaps: resolve_rg skips empty PATH segment","passed","1ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_router_branch_gaps","Branch gaps: router note dedup and best_in_tier via route_task","passed","69ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_settings_format_config_no_workspace","Branch gaps: settings format_config without workspace path","passed","1ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_branch_coverage#test_usage_branch_gaps","Branch gaps: usage event builders and format_report sections","passed","2ms",,,,"Test infrastructure","Branch coverage",,"Test infrastructure","Branch coverage",
"tests.test_cli_handlers#test_build_parser_subcommands","build_parser exposes all subcommands","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Parser"
"tests.test_usage#test_build_script_and_compress_events","build_script_event and build_compress_event populate fields","passed","3ms",,,,"Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Event builders"
"tests.test_usage#test_build_tier_scan","build_tier_scan returns rows for all tiers","passed","25ms",,,,"Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Tier scan helper"
"tests.test_paths#test_routes_have_no_null_commands","Bundled routes have no phantom null-command executors","passed","23ms",,,"null-command routes: (none) passed (0s)","Configuration","Workspace paths",,"Configuration","Workspace paths","Routes config"
"tests.test_cheap_llm#test_cheap_llm_config_provider","cheap_llm config section sets provider","passed","2ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Settings"
"tests.test_cheap_llm#test_api_key_env","CHEAP_LLM_API_KEY env overrides config","passed","2ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Settings"
"tests.test_cheap_llm#test_openai_compat_sends_api_key","CHEAP_LLM_API_KEY is sent as Bearer for openai_compat","passed","1ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Auth"
"tests.test_cheap_llm#test_cheap_llm_available_ollama","cheap_llm_available probes Ollama /api/tags","passed","2ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Health"
"tests.test_cheap_llm#test_cheap_llm_available_openai_compat","cheap_llm_available probes OpenAI-compatible /v1/models","passed","1ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Health"
"tests.test_cheap_llm#test_cheap_llm_chat_openai_compat","cheap_llm_chat uses OpenAI-compatible /v1/chat/completions","passed","502ms",,,,"Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Chat"
"tests.test_cheap_llm#test_cheap_llm_status_line","cheap_llm_status_line includes provider and model","passed","1ms",,,"status line: Cheap LLM: available (openai_compat, http://127.0.0.1:46045, model=stub-model) passed (0s)","Configuration","Cheap LLM adapters",,"Configuration","Cheap LLM adapters","Status"
"tests.test_cli#test_cli_help","CLI --help lists route command","passed","112ms",,,"Run greedy-token CLI --help passed (112ms)
  stdout: usage: greedy-token [-h] [--no-log] | {route,estimate,run,audit-context,tokens,rag,compress,scripts,report,config,pipeline} | ... | Task orchestrator: tool | Python | Ollama | RAG | Cursor | positional arguments: | {route,estimate,run,au... passed (0s)
 Verify help mentions route command passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Help"
"tests.test_cli_commands#test_cli_audit_context","CLI audit-context renders rules token audit","passed","269ms",,,"Run greedy-token audit-context passed (269ms)
  stdout: == Cursor context audit == | Always-on rules (.cursor/rules/*.mdc): 6 tokens | Skills on disk (.cursor/skills/*/SKILL.md): 6 tokens | Sampled docs: 0 tokens | Grand total (sampled set): 12 tokens | Always-on rules (charged every chat): |... passed (0s)
 Verify context audit report sections passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Audit context"
"tests.test_coverage_gaps#test_cli_compress_raw_and_scripts_dry","CLI compress --raw and scripts dry-run non-readonly","passed","2ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_cli_commands#test_cli_compress_stdin","CLI compress reads stdin and prints short prompt","passed","273ms",,,"Run greedy-token compress with stdin input passed (272ms)
  stdout: Fix baseUrl in configurator. passed (0s)
 Verify compressed prompt retains baseUrl passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Compress"
"tests.test_cli_commands#test_cli_config_init","CLI config --init creates user config under HOME","passed","112ms",,,"Run greedy-token config --init passed (112ms)
  stdout: Created /tmp/pytest-of-runner/pytest-0/test_cli_config_init0/.greedy-token/config.yaml | greedy-token cheap LLM settings | provider: Ollama (ollama) | url:      http://localhost:11434 | model:    test-model | source:   user | Config file... passed (0s)
 Verify user config file was created passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_config_shows_settings","CLI config shows Ollama settings","passed","112ms",,,"Run greedy-token config passed (111ms)
  stdout: greedy-token cheap LLM settings | provider: Ollama (ollama) | url:      http://localhost:11434 | model:    qwen2.5-coder:7b-instruct-q4_K_M | source:   default | Config files (low → high priority): | 1. defaults | 2. /home/runner/.greedy... passed (0s)
 Verify Ollama settings are shown passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Config"
"tests.test_cli_commands#test_cli_estimate_shows_tier_scan","CLI estimate prints tier scan and token estimate","passed","330ms",,,"Run greedy-token estimate passed (329ms)
  stdout: Task: find baseUrl in sample.js | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. executor tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command... passed (0s)
 Verify tier scan and task context in output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Estimate"
"tests.test_cli_commands#test_cli_pipeline_execute_search_rag","CLI pipeline --execute runs search and RAG steps","passed","289ms",,,"Run greedy-token pipeline --execute passed (288ms)
  stdout: Pipeline: search baseUrl	sample.js then rag baseUrl | Steps: 2 | ── Step 1/2: search: baseUrl	sample.js [tool/ran] OK · 4ms · ~0 tok | Search: 'baseUrl' in projects/sample.js | 1:const baseUrl = 'http://localhost'; | ── Step 2/2: rag: ba... passed (0s)
 Verify search and RAG results in output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Pipeline"
"tests.test_cli#test_cli_pipeline_list","CLI pipeline --list shows named recipes","passed","111ms",,,"Run greedy-token pipeline --list passed (111ms)
  stdout: Named pipelines: | meta-audit | Python meta check → Ollama skill audit | steps: check-meta-sync → audit-skill {skill} | usage: pipeline: meta-audit <args> | meta-rag | Python meta check → RAG lookup | steps: check-meta-sync → rag {query}... passed (0s)
 Verify meta-audit recipe is listed passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Pipeline"
"tests.test_cli_commands#test_cli_rag_query","CLI rag searches docs/rag chunks","passed","279ms",,,"Run greedy-token rag query passed (278ms)
  stdout: RAG hits for: baseUrl -D flag | 1. [test-baseurl] score=4.0  (config) | docs/rag/config/test-chunk.md | baseUrl is configured via -DbaseUrl flag in Gradle. | --- passed (0s)
 Verify RAG hits in output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","RAG"
"tests.test_cli_commands#test_cli_report_json","CLI report --json returns aggregate summary JSON","passed","112ms",,,"Run greedy-token report --json passed (111ms)
  stdout: { | ""events"": 0, | ""skipped_lines"": 0, | ""since"": ""7d"", | ""by_tier"": {}, | ""totals"": { | ""cursor_baseline"": 0, | ""est_tokens"": 0, | ""saved_vs_cursor"": 0 | }, | ""top_routes"": [], | ""counter_methods"": {} | } passed (0s)
 Verify JSON summary has zero events passed (1ms)
   report summary: { | ""events"": 0, | ""skipped_lines"": 0, | ""since"": ""7d"", | ""by_tier"": {}, | ""totals"": { | ""cursor_baseline"": 0, | ""est_tokens"": 0, | ""saved_vs_cursor"": 0 | }, | ""top_routes"": [], | ""counter_methods"": {} | } passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Report"
"tests.test_cli#test_cli_route_tool","CLI route recommends tool tier for find task","passed","319ms",,,"Run greedy-token route for find task passed (319ms)
  stdout: Task: find baseUrl in sample.js | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp... passed (0s)
 Verify route recommends tool tier passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Route"
"tests.test_cli_commands#test_cli_run_execute_find_task","CLI run --execute runs read-only find task","passed","333ms",,,"Run greedy-token run --execute passed (331ms)
  stdout: Route: tool (tool-rg-search) | Complexity: low  Est. tokens: 0 | projects/sample.js:1:const baseUrl = 'http://localhost'; | docs/rag/config/test-chunk.md:1:baseUrl is configured via -DbaseUrl flag in Gradle. passed (0s)
 Verify search finds baseUrl passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_cli_commands#test_cli_run_dry_run_shows_plan","CLI run dry-run prints plan without executing","passed","320ms",,,"Run greedy-token run dry-run passed (320ms)
  stdout: Route: tool (tool-rg-search) | Complexity: low  Est. tokens: 0 | cd /tmp/pytest-of-runner/pytest-0/test_cli_run_dry_run_shows_pla0 && /usr/bin/rg -n --max-columns 200 -F baseUrl -g '!.git/**' -g '!node_modules/**' -g '!build/**' -g '!.ve... passed (0s)
 Verify plan shows route and execute hint passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_coverage_gaps#test_cli_run_branches","CLI run prints fallback note and non-readonly dry-run hint","passed","78ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_cli_commands#test_cli_scripts_list","CLI scripts --list shows wrapper registry","passed","132ms",,,"Run greedy-token scripts --list passed (131ms)
  stdout: Script wrappers (scripts/ollama | migrate | check-meta-sync): | check-meta-sync      [meta] read-only | scripts/check-meta-sync.sh | Meta validation — no LLM | batch-inventory      [ollama] writes +ollama | scripts/ollama/batch-inventory... passed (0s)
 Verify check-meta-sync wrapper is listed passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli_commands#test_cli_scripts_run_execute_check_meta_sync","CLI scripts --run check-meta-sync --execute runs wrapper","passed","280ms",,,"Run greedy-token scripts --run check-meta-sync --execute passed (280ms)
  stdout: check-meta-sync-ok passed (0s)
 Verify wrapper script output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli_commands#test_cli_tokens_counts_file","CLI tokens counts tokens in workspace file","passed","266ms",,,"Run greedy-token tokens on sample.js passed (265ms)
  stdout: path                                                           tokens    chars | ------------------------------------------------------------------------------ | projects/sample.js                                                  8      ... passed (0s)
 Verify token count output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Tokens"
"tests.test_cli_handlers#test_cmd_audit_context","cmd_audit_context renders audit report","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Audit"
"tests.test_cli_handlers#test_cmd_compress_stdin","cmd_compress reads stdin and prints dual format","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_compress_empty_stdin","cmd_compress rejects empty stdin","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_compress_too_large","cmd_compress rejects oversized stdin","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_config_export","cmd_config --export prints shell exports","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init","cmd_config --init creates user config","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init_exists","cmd_config --init returns error when config exists","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init_without_workspace","cmd_config --init works without workspace root (PyPI bootstrap)","passed","4ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_show","cmd_config prints Ollama settings","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_show_requires_workspace","cmd_config show requires workspace when not --init","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_estimate","cmd_estimate prints tier scan","passed","78ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Estimate"
"tests.test_cli_handlers#test_cmd_pipeline_list","cmd_pipeline --list prints recipes","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Pipeline"
"tests.test_cli_handlers#test_cmd_pipeline_dry_run","cmd_pipeline dry-run returns zero on success","passed","7ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Pipeline"
"tests.test_cli_handlers#test_cmd_rag","cmd_rag searches docs with optional domain","passed","5ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","RAG"
"tests.test_cli_handlers#test_cmd_report_json","cmd_report --json emits JSON summary","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Report"
"tests.test_cli_handlers#test_cmd_report_text","cmd_report prints text summary","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Report"
"tests.test_cli_handlers#test_cmd_route","cmd_route prints decision and returns zero","passed","51ms",,,"stdout: Task: find baseUrl in sample.js | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp... passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Route"
"tests.test_cli_handlers#test_cmd_run_execute_cursor_refused","cmd_run --execute on cursor route exits non-zero with guidance","passed","73ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_run_execute","cmd_run --execute runs read-only task","passed","77ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_run_dry_run","cmd_run dry-run prints plan","passed","50ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_scripts_run_audit_skill_execute","cmd_scripts --execute allows stdout-only audit-skill","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_timeout","cmd_scripts --execute handles script timeout","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_list","cmd_scripts --list prints wrapper registry","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_execute","cmd_scripts --run --execute runs read-only wrapper","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_dry","cmd_scripts --run dry-run prints command","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_refuse_write","cmd_scripts --run rejects non-read-only execute","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_unknown","cmd_scripts --run returns error for unknown wrapper","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_usage","cmd_scripts without list or run prints usage error","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_tokens","cmd_tokens counts files in workspace","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Tokens"
"tests.test_cli_handlers#test_cmd_tokens_no_files","cmd_tokens returns error when no files found","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Tokens"
"tests.test_coverage_gaps#test_code_search_directory_scope","code_search directory scope and python engine fallback","passed","9ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_coverage_gaps#test_code_search_resolve_edges","code_search: unique dir, outside OSError, empty basename, name_glob","passed","18ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_tokens#test_collect_paths_skips_suffixes","collect_paths skips binary suffixes and broken symlinks","passed","1ms",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Path collection"
"tests.test_prompt_compress#test_compress_ollama_detail","compress_ollama_detail calls stub server","passed","3ms",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Ollama"
"tests.test_prompt_compress#test_compress_prompt_ollama_fallback","compress_prompt_detail falls back on Ollama failure","passed","1ms",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Ollama"
"tests.test_usage#test_logging_disabled","Conditional append skips write when logging disabled","passed","1ms",,,"Attempt append with logging disabled passed (0s)
  logging enabled: False passed (0s)
  log file exists: False passed (0s)
 Verify no log file was created passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Logging toggle"
"tests.test_context_audit#test_audit_context_finds_rules","Context audit discovers always-on Cursor rules","passed","2ms",,,"Audit workspace Cursor context passed (2ms)
  item kinds: rule, skill passed (0s)
  always-on count: 1 passed (0s)
 Verify always-on rules are discovered passed (0s)","Greedy token","Context audit",,"Greedy token","Context audit","Rules scan"
"tests.test_coverage_gaps#test_context_audit_empty_rules","context_audit skips directories and empty rules table","passed","3ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_tokens#test_count_texts_heuristic_fallback","count_texts uses heuristic when batch encoding fails","passed","1ms",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Batch fallback"
"tests.test_tokens#test_count_tokens_heuristic_fallback","count_tokens uses heuristic when tiktoken encoding fails","passed","0s",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Heuristic fallback"
"tests.test_usage#test_cursor_baseline_includes_overhead","Cursor baseline includes agent overhead tokens","passed","2ms",,,"Compute cursor baseline passed (1ms)
  baseline tokens: 6007 passed (0s)
 Verify baseline includes agent overhead passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Baseline"
"tests.test_estimator#test_cursor_baseline_includes_rules_task_and_overhead","Cursor baseline sums always-on rules, task, and agent overhead","passed","2ms",,,"Compute cursor baseline for find task passed (2ms)
  task: find baseUrl in sample.js passed (0s)
  baseline tokens: 6011 passed (0s)
 Verify baseline exceeds task token count passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Cursor baseline"
"tests.test_estimator#test_cursor_saved_for_tool_tier","Cursor saved equals baseline minus spent for tool tier","passed","3ms",,,"Compute cursor savings for tool tier passed (3ms)
  baseline: 6011 passed (0s)
  saved: 6011 passed (0s)
 Verify saved equals full baseline passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Savings"
"tests.test_estimator#test_cursor_saved_for_cursor_target_is_zero","Cursor saved is zero when route target is cursor","passed","2ms",,,"Compute cursor savings for cursor tier passed (2ms)
  baseline: 6012 passed (0s)
  saved: 0 passed (0s)
 Verify zero savings and baseline exceeds spent passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Savings"
"tests.test_usage#test_cursor_saved_tool","Cursor savings is reported for tool tier","passed","2ms",,,"Compute cursor savings for tool tier passed (1ms)
  saved tokens: 6008 passed (0s)
 Verify positive savings passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Savings estimate"
"tests.test_usage#test_cursor_saved_cursor","Cursor savings is zero for cursor tier","passed","0s",,,"Compute cursor savings for cursor tier passed (0s)
  saved tokens: 0 passed (0s)
 Verify zero savings passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Savings estimate"
"tests.test_budget#test_format_tool_footer_cursor_no_savings","Cursor tier footer shows zero savings","passed","26ms",,,"Format tool footer for cursor tier passed (26ms)
  footer: --- | Greedy token | This call | Executor: cursor — expensive LLM agent loop | Route: cursor-wiring | Spent (MCP executor, LLM tokens): ~11,000  (expensive LLM path — same order as baseline) | Billing: expensive LLM (Cursor agent) — full... passed (0s)
 Verify zero savings for cursor tier passed (0s)","Greedy token","Token budget",,"Greedy token","Token budget","Tool footer"
"tests.test_router#test_draft_rag_does_not_hit_removed_null_route","Draft-rag phrases no longer hit removed ollama-rag-draft stub","passed","24ms",,,"Route former phantom draft-rag phrase passed (23ms)
  decision: { | ""target"": ""cursor"", | ""route_id"": ""cursor-fallback"", | ""command"": null, | ""dry_run"": ""Open new Cursor chat.\nTask: draft rag chunk\nBefore paste: greedy-token audit-context && greedy-token rag \""<topic>\"""" | } passed (0s)
 Verify no null-command ollama-rag-draft / No executor passed (0s)","Routing","Task router",,"Routing","Task router","Ollama routes"
"tests.test_prompt_compress#test_format_dual_wraps_blocks","Dual-format output wraps long and short prompt blocks","passed","0s",,,"Format dual prompt blocks passed (0s)
  dual format output: **Prompt:** | ```text | long prompt | ``` | **Short version for agent:** | ```text | short | ``` passed (0s)
 Verify both prompt blocks are present passed (0s)","Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Dual format"
