Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_pipeline_gaps#test_bind_recipe_args_gaps","_bind_recipe_args: usage string, extra-arg errors, query-join, path extraction","passed","1ms",,,"query placeholder joins multi-word positionals passed (0s)
 query+path: last positional is path, earlier tokens join into query passed (0s)
  single non-joinable placeholder binds one positional (kills 'in'→'not in') passed (0s)
   no placeholders but extra positionals → exact usage + space-joined extras passed (1ms)
    too few positionals → exact usage with '> <' join and '(or …=…)' hint passed (0s)
     single placeholder, extra positionals → reports positional[1:] joined passed (0s)
      multi placeholder, extra positionals → space-joined positional[len(need):] passed (0s)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_router_gaps#test_build_tool_command_jq_exact","_build_tool_command: exact jq command for default and custom route","passed","1ms",,,"Default jq route → '.' filter, phase-manifest path passed (0s)
 Custom jq route → custom filter and json_path passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_build_tool_command_rg_exact","_build_tool_command: exact rg command for default and custom route","passed","1ms",,,"Default route → default globs / generic '.' search path / max-count 50 passed (0s)
 Custom route keys override defaults (kills key-name/or-default mutants) passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_expensive_llm#test_yandex_native_no_alternatives","_chat_yandex_native raises when no alternatives","passed","1ms",,,,"Expensive LLM","Expensive LLM",,"Expensive LLM","YandexGPT adapter",
"tests.test_budget_gaps#test_cost_from_event_malformed","_cost_from_event ignores malformed cost fields","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_router_gaps#test_decision_from_route_confidence_and_note","_decision_from_route: confidence cap and note-dedup branch logic","passed","0s",,,"High score caps confidence at 0.95 passed (0s)
 Empty note (missing key) → rationale unchanged, note '' passed (0s)
  note already inside rationale → NOT re-appended (kills and/not-in mutants) passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_decision_from_route_tool_fields","_decision_from_route: exact fields for a tool route (note appended)","passed","1ms",,,"confidence = min(0.95, 0.45 + 1.0*0.12) = 0.57 passed (1ms)
 every field is exact passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_decision_from_route_ollama_wrapper","_decision_from_route: ollama wrapper unavailable appends note to rationale","passed","2ms",,,"wrapper.requires_ollama and ollama down → rationale gains availability note passed (0s)
 ollama available → no availability note appended passed (1ms)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_decision_from_route_non_tool_fields","_decision_from_route: read_only, command threading, and root passthrough","passed","1ms",,,"python route: read_only from route key, command passthrough (not rebuilt) passed (0s)
 python route without read_only key → default False for non-tool tier passed (0s)
  root is threaded into _token_estimate_for_route (not None) passed (0s)
   nonzero est_tokens is threaded (kills est_tokens kwarg removal) passed (1ms)","Router","Router gaps",,"Router","Route status",
"tests.test_pipeline#test_estimate_step_tokens_branches","_estimate_step_tokens: 0 for tool/python; output+extra for ollama/rag","passed","1ms",,,"tool/python executors cost 0 LLM tokens passed (0s)
 ollama default branch = tokens of the output passed (0s)
  ollama audit-skill adds the skill file's tokens passed (0s)","Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Estimate tokens"
"tests.test_pipeline#test_estimate_step_tokens_rag","_estimate_step_tokens: rag branch threads root/limit into search_rag","passed","0s",,,"rag estimate = rag_est_tokens + tokens(query); search_rag(args, root, limit=5) passed (0s)
  search_rag call: [ | ""myquery"", | ""/tmp/pytest-of-runner/pytest-0/test_estimate_step_tokens_rag0"", | ""5"" | ] passed (0s)","Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Estimate tokens"
"tests.test_pipeline_gaps#test_estimate_step_tokens_gaps","_estimate_step_tokens: rag threads root; non-audit-skill args add no extra","passed","1ms",,,"rag branch passes the real root to rag_est_tokens (kills root→None) passed (0s)
 non-audit-skill ollama step never reads a file (kills 'and'→'or') passed (0s)
  audit-skill invalid-UTF8 file uses errors='replace' (kills errors mutants) passed (1ms)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_pipeline#test_executor_sub_for_step","_executor_sub_for_step maps search/tool to engine, else to tier","passed","1ms",,,"step_id 'search' uses the engine (or 'rg' when empty) passed (0s)
 tier 'tool' uses the engine even for non-search step_id passed (0s)
  otherwise falls back to the step tier passed (0s)","Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Executor sub"
"tests.test_pipeline_gaps#test_expand_named_pipeline_gaps","_expand_named_pipeline: recipe profile, arg binding, step join, configurator special-case","passed","1ms",,,"recipe with profile: exact expansion + ' then ' join + recipe profile passed (0s)
 recipe without profile: falls back to default_profile (kills default→None/name) passed (0s)
  configurator-boolean special-case keeps running later steps (kills continue→break) passed (0s)
   binding error names the recipe (kills _bind_recipe_args(None, …)) passed (0s)
    default_profile defaults to '' (kills default → 'XXXX') passed (0s)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_router_gaps#test_extract_search_query_branches","_extract_search_query: quoted, filler, length, and sort branches","passed","1ms",,,"quoted phrase wins verbatim passed (0s)
 filler word filtered even when it would outscore the keeper passed (0s)
  two short tokens both filtered → fall back to whole text passed (1ms)
   equal score, longer token wins (sort by -len) passed (0s)
    stray quotes stripped down to empty fall-through text passed (0s)
     leading double-quote stripped (kills the '""' strip-set mutant) passed (0s)
      leading single-quote stripped (kills the ""'"" strip-set mutant) passed (0s)","Router","Router gaps",,"Router","Route status",
"tests.test_router_gaps#test_fallback_for_tier_exact","_fallback_for_tier: exact RouteDecision fields for cursor and non-cursor tiers","passed","7ms",,,"the real root is threaded into the token estimate (not None) passed (2ms)
 cursor tier → cursor-fallback id, 0.35 confidence, first message line passed (2ms)
  cursor tier + cfg without cursor_fallback → estimate rationale, no crash passed (2ms)
   non-cursor tier → '<tier>-none' id, 0.0 confidence, no-match rationale passed (0s)
    rag tier fallback carries a nonzero est_tokens (kills kwarg drop) passed (1ms)","Router","Router gaps",,"Router","Route status",
"tests.test_code_search_gaps#test_finalize_file_mode","_finalize_search: 'file' context threads mode into enrich (kills mode=None/dropped)","passed","1ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_finalize_no_hits_zero_counters","_finalize_search: body with no parseable hits keeps counters at 0","passed","0s",,,"narrative body → 0 hits → enriched_files/context_tokens stay 0 passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_finalize_default_path_and_paths","_finalize_search: default_path threading, hit_paths cap 10, zero context tokens","passed","1ms",,,"numeric mis-split only becomes a hit when default_path is threaded passed (0s)
 hit_paths are capped at 10 (kills limit removed / limit 11) passed (1ms)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_finalize_budget_kwarg","_finalize_search: max_tokens from settings drives the budget stop (kills dropped kwarg)","passed","2ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_finalize_settings_wiring","_finalize_search: settings root + mode/max_files/context_lines threading into enrich","passed","2ms",,,"mode resolved from settings ('snippet'), not None passed (0s)
 real root threaded into get_search_settings (kills None) passed (0s)
  context_lines from settings (3) used (kills default 15) passed (0s)
   max_snippet_files from settings (1) used (kills default 3) passed (0s)
    context_tokens is reported nonzero (kills dropped kwarg default 0) passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_budget_gaps#test_float_fallback","_float falls back on None and bad values","passed","1ms",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_expensive_llm#test_folder_from_env","_folder_from_env reads either env var","passed","0s",,,,"Expensive LLM","Expensive LLM",,"Expensive LLM","YandexGPT adapter",
"tests.test_code_search#test_glob_name_matches_sort_order","_glob_name_matches: DEFAULT_PATHS matches sort before others, then by str","passed","3ms",,,"Default-path match wins over natural alphabetical order passed (2ms)","Code search","Search path resolution",,"Code search","Search path resolution","Glob name matches"
"tests.test_code_search#test_glob_name_matches_dir_mode","_glob_name_matches: dir mode skips files with continue","passed","2ms",,,"File skipped in want_dir mode; trailing directory kept passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Glob name matches"
"tests.test_code_search#test_glob_name_matches_skips_outside","_glob_name_matches: matches outside root skipped with continue","passed","2ms",,,"Out-of-root match skipped via continue; in-root keeper kept passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Glob name matches"
"tests.test_code_search#test_glob_name_matches_continue_and_want_dir","_glob_name_matches: skips are continue (not break); file mode excludes dirs","passed","2ms",,,"Directory + vendor skipped via continue; trailing real file kept passed (2ms)
  got: /tmp/pytest-of-runner/pytest-0/test_glob_name_matches_continu0/real.txt passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Glob name matches"
"tests.test_code_search#test_glob_name_matches_tie_break","_glob_name_matches: ties broken by str(path)","passed","3ms",,,"Equal preference + depth -> str() tie-break (docs before scripts) passed (2ms)","Code search","Search path resolution",,"Code search","Search path resolution","Glob name matches"
"tests.test_resource_probe_gaps#test_gpu_info","_gpu_info: Darwin Apple, Darwin non-apple, Darwin error, nvidia, nvidia error","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_executors#test_infer_rag_domains","_infer_rag_domains detects config and stacks tokens","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_executors#test_infer_rag_domains_every_token","_infer_rag_domains maps every keyword to its exact domain","passed","1ms",,,,"Routing","Task execution",,"Routing","Task execution","RAG domains"
"tests.test_resource_probe_gaps#test_is_avoided","_is_avoided matches base and substring","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_scripts_lint_gaps#test_is_consumer_script","_is_consumer_script recognises external/consumer/note markers","passed","1ms",,,,"Scripts","Scripts lint gaps",,"Scripts","Route lint",
"tests.test_resource_probe_gaps#test_is_deprecated_string_info","_is_deprecated returns string reason when info is not a dict","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_spend_guard_gaps#test_load_today_spend_rotated","_load_today_spend also sums rotated archives for today","passed","1ms",,,,"Spend guard","Spend guard",,"Spend guard","Expensive LLM gate",
"tests.test_spend_guard_gaps#test_load_today_spend","_load_today_spend sums today's metered cost and skips junk","passed","1ms",,,,"Spend guard","Spend guard",,"Spend guard","Expensive LLM gate",
"tests.test_spend_guard_gaps#test_load_today_spend_skips_before_counting","_load_today_spend: break-vs-continue on every filter and falsy cost","passed","1ms",,,,"Spend guard","Spend guard",,"Spend guard","Expensive LLM gate",
"tests.test_pipeline_gaps#test_log_pipeline_exact","_log_pipeline: skips dry steps; builds exact route event per executed step","passed","1ms",,,"only the executed step is logged (kills continue→break and filter flip) passed (0s)
 build_route_event top-level kwargs are exact passed (0s)
  the RouteDecision carries the exact per-step fields passed (0s)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_budget_gaps#test_merge_budget","_merge_budget merges nested dicts and prefers workspace scalars","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_model_select_gaps#test_merge_configs","_merge_configs merges nested dicts and keeps user-only keys","passed","1ms",,,,"tests","test_model_select_gaps",,,,
"tests.test_model_select_gaps#test_provider_and_profiles","_normalize_provider and _parse_profiles branches","passed","0s",,,,"tests","test_model_select_gaps",,,,
"tests.test_router_gaps#test_normalize","_normalize: collapses whitespace and lowercases","passed","1ms",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_hub_gaps#test_origin_is_local","_origin_is_local: local hosts, foreign host, malformed origin","passed","0s",,,,"Hub","Hub gaps",,"Hub","Local ops dashboard",
"tests.test_llm_invoke_gaps#test_predicates","_output_weak / _json_parse_fail / _should_escalate branches","passed","2ms",,,,"tests","test_llm_invoke_gaps",,,,
"tests.test_model_select_gaps#test_parse_model_entry","_parse_model_entry: no id, cost fallback, api_key from env","passed","1ms",,,,"tests","test_model_select_gaps",,,,
"tests.test_model_select_gaps#test_parse_registry_edges","_parse_registry skips junk entries and recovers from bad numbers","passed","0s",,,,"tests","test_model_select_gaps",,,,
"tests.test_pipeline_gaps#test_parse_search_segment_fields","_parse_search_segment: partition (not rpartition), profile, label suffix","passed","0s",,,"first ' path=' splits query/path (partition, not rpartition) passed (0s)
 no path → label has no ' in ' suffix; profile default is '' passed (0s)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_pipeline_gaps#test_parse_segment_fields","_parse_segment: read-hits/wrapper branches yield exact PipelineStep fields","passed","1ms",,,"read-hits branch: exact tier/label/args/profile passed (0s)
 search branch threads the profile; profile default is '' passed (0s)
  python wrapper: split(maxsplit=1) keeps args; profile forced '' passed (0s)
   ollama wrapper: profile threaded through passed (0s)
    unknown step raises the exact Known-list message passed (0s)","Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_router_gaps#test_parse_shadow_until","_parse_shadow_until handles junk, naive, and empty values","passed","0s",,,,"Router","Router gaps",,"Router","Route status",
"tests.test_cli_gaps#test_parse_tags","_parse_tags parses key=value pairs and skips junk","passed","0s",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_hub_gaps#test_parse_ts","_parse_ts branches: empty, naive, invalid","passed","1ms",,,,"Hub","Hub gaps",,"Hub","Local ops dashboard",
"tests.test_code_search#test_path_resolve_error_ambiguous","_path_resolve_error: ambiguous message lists candidates + ellipsis at 8","passed","4ms",,,"Eight candidates -> full list plus trailing ellipsis line passed (3ms)
  message: Error: path 'z.txt' is ambiguous under test_path_resolve_error_ambigu0. Pass a path relative to the workspace root. | Candidates: | - c0.txt | - c1.txt | - c2.txt | - c3.txt | - c4.txt | - c5.txt | - c6.txt | - c7.txt | - … passed (0s)
 Fewer than eight candidates -> no ellipsis line passed (1ms)
   message: Error: path 'z.txt' is ambiguous under test_path_resolve_error_ambigu0. Pass a path relative to the workspace root. | Candidates: | - c0.txt | - c1.txt | - c2.txt passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Path resolve error"
"tests.test_code_search_gaps#test_path_resolve_error_more_marker","_path_resolve_error: exact ambiguous message; '…' marker only at 8 candidates","passed","2ms",,,"with < 8 candidates the more-marker is empty (kills '' → 'XXXX') passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_model_select_gaps#test_pick_from_pool","_pick_from_pool: empty, auto, fixed default, no-match fallback","passed","1ms",,,,"tests","test_model_select_gaps",,,,
"tests.test_budget_gaps#test_policy_footer_lines_error","_policy_footer_lines swallows errors","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_code_search#test_python_search_file_edges","_python_search_file truncates long lines and handles read errors","passed","1ms",,,"Search file with long matching line passed (1ms)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/f.txt:1:needle xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx... passed (0s)
 Verify long line truncation passed (0s)
  Search missing file passed (0s)
    error hits: Error reading /tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/missing.txt: [Errno 2] No such file or directory: '/tmp/pytest-of-runner/pytest-0/test_python_search_file_edges0/missing.txt' passed (0s)
   Verify read error message passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_file_lines_and_limit","_python_search_file: 1-based line numbers, continue-not-break, >= limit","passed","0s",,,"Non-matching first line is skipped (continue, not break) passed (0s)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_file_lines_0/f.txt:2:needle A | /tmp/pytest-of-runner/pytest-0/test_python_search_file_lines_0/f.txt:3:needle B passed (0s)
 limit is an inclusive >= bound passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_file_truncation_boundary","_python_search_file: 200/201 char truncation boundary is exact","passed","1ms",,,"200-char line kept whole; 201-char line truncated to 200 + ellipsis passed (0s)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_file_trunca0/t.txt:1:needleyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy... passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_file_invalid_utf8","_python_search_file: invalid UTF-8 uses errors='replace'","passed","0s",,,"Undecodable bytes do not raise (errors='replace') passed (0s)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_file_invali0/bin.txt:1:needle �� tail passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python file scan"
"tests.test_code_search#test_python_search_tree","_python_search_tree respects skip dirs and name glob","passed","3ms",,,"Add hidden match under .git directory passed (1ms)
 Scan projects tree with name glob passed (1ms)
   hits: projects/sample.js:1:const baseUrl = 'http://localhost'; passed (0s)
  Verify .git skipped and sample.js found passed (0s)
   name_glob filters non-matching files; limit stops early passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_code_search#test_python_search_tree_truncation_and_utf8","_python_search_tree: 201-char line truncated exactly; invalid UTF-8 tolerated","passed","2ms",,,"Long line truncated to exactly 200 chars + ellipsis passed (0s)
 Undecodable bytes handled with errors='replace' passed (1ms)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_code_search_gaps#test_python_search_tree_missing_scope_continue","_python_search_tree: a missing scope dir is skipped via continue (not break)","passed","0s",,,"first scope dir is missing; a later valid dir is still scanned passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search#test_python_search_tree_skips_nondir_scope","_python_search_tree: non-dir scope skipped with continue, not break","passed","1ms",,,"First (missing) scope is skipped; the good scope is still scanned passed (0s)
  hits: good/f.txt:1:needle x passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_code_search#test_python_search_tree_outside_root","_python_search_tree: path outside root falls back to full path, not None","passed","1ms",,,"relative_to(root) fails -> rel = path (never None) passed (0s)
  hits: /tmp/pytest-of-runner/pytest-0/test_python_search_tree_outsid0/outside/o.txt:1:needle out passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_code_search#test_python_search_tree_exact","_python_search_tree: rel-to-root paths, 1-based lines, continue-not-break","passed","2ms",,,"Directory entries skipped (continue) so later files still scanned passed (1ms)
  hits: src/aaa_dir/deep.txt:1:needle deep | src/zzz.txt:2:needle here | src/zzz.txt:3:needle two passed (0s)","Code search","Search path resolution",,"Code search","Search path resolution","Python tree scan"
"tests.test_code_search_gaps#test_python_search_tree_edges","_python_search_tree: skipped dir uses continue (not break) and 200-char boundary","passed","3ms",,,"a skipped __pycache__ entry does not abort the whole scan passed (1ms)
 a 200-char line is shown in full (kills <= 200 → < 200) passed (0s)
  name_glob filters files by pattern passed (1ms)
   name_glob mismatch uses continue not break (a later match is found) passed (1ms)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_executors#test_rag_fallback_output_second_call_and_empty","_rag_fallback_output retries with domains=None then returns None when empty","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG fallback"
"tests.test_executors#test_rag_fallback_output_search_args","_rag_fallback_output threads inferred domains and limit=5 into search_rag","passed","0s",,,,"Routing","Task execution",,"Routing","Task execution","RAG fallback"
"tests.test_executors_gaps#test_rag_fallback_output_thread_args","_rag_fallback_output: first call threads root; second call threads task/root","passed","0s",,,"first call threads the real root (kills root=None) passed (0s)
 second call threads task + root (kills task=None / root=None) passed (0s)","Routing","Executors gaps",,"Routing","Task execution",
"tests.test_resource_probe_gaps#test_ram_platforms","_ram_gb: Darwin sysctl, sysctl error, Linux meminfo, default","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_resource_probe_gaps#test_ram_psutil","_ram_gb: psutil path","passed","0s",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_settings#test_read_yaml_missing","_read_yaml returns empty dict for missing file","passed","0s",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_settings#test_read_yaml_non_dict","_read_yaml returns empty dict for non-dict YAML","passed","1ms",,,,"Configuration","Ollama settings",,"Configuration","Ollama settings","YAML"
"tests.test_settings_gaps#test_resolve_search_settings_bad_values","_resolve_search_settings ignores malformed ints and honours env","passed","1ms",,,,"Settings","Settings gaps",,"Settings","Config resolution",
